"species","ch"
"FOR","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0A00000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0A00000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0A0000000000000000000000000000000000A000000000000000000A00000000000000000000000000000000000000000000000000000000000000000"
"OLI","0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0A0000000000000000000000000000000000A0000000000000000000000000000000000000000000000000000000000000000000A0000000000000000"
"OLI","0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PET","0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PET","0A00000000000000000000000000000000000000000000000000000000000000000000A00000000000000000000000000000000000000000000000000"
"PAL","0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000A000000000000000000000000000000000"
"FUL","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","00A00000000000000000000000000000000000000000000000000A0000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PSI","00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PET","000A00000000000000000000000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PET","000A00000000000000000000000000000000000000000000000000A000000000000000000000000000000000000000000000000000000000000000000"
"PAR","000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
