"species","ch"
"FOR","U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0U00000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0U00000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0U0000000000000000000000000000000000U000000000000000000U00000000000000000000000000000000000000000000000000000000000000000"
"OLI","0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0U0000000000000000000000000000000000U0000000000000000000000000000000000000000000000000000000000000000000U0000000000000000"
"OLI","0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PET","0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PET","0U00000000000000000000000000000000000000000000000000000000000000000000U00000000000000000000000000000000000000000000000000"
"PAL","0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000U000000000000000000000000000000000"
"FUL","00R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","00U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
