"species","ch"
"FOR","0B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A00000000000000000000000000000000000000000000000000000000000000A000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A0000000000000000000000000000000000000000000000000000000A000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00A00000000000000000000000000000000000A00000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000A000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MAG","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000A000000000000000000000000000000000000A000000000000000000000000000000000000000000000000000000000000000"
"FOR","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000A0000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000B00A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000A0000000000000000000000000000000A0000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000A0"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000A000000000000"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000A0000000"
"CRA","0000A000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000A000000000000000"
"CRA","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
